rank,shirtnumber,name,team,spikes,faults,shots,total_attempts,success_%
1,11,Andrea Drews,USA,205,68,153,426,48.12
2,20,Brayelin Elizabeth Martinez,DOM,235,46,213,494,47.57
3,99,Ebrar Karakurt,TUR,247,94,197,538,45.91
4,14,Elena Pietrini,ITA,199,63,173,435,45.75
5,10,Gabriela Braga Guimaraes,BRA,241,82,226,549,43.90
6,17,Malwina Smarzek,POL,376,126,361,863,43.57
7,9,Meliha Ismailoglu,TUR,146,50,140,336,43.45
8,6,Xiangyu Gong,CHN,128,26,142,296,43.24
9,10,Yeon Koung Kim,KOR,124,33,132,289,42.91
10,19,Chatchu-On Moksri,THA,122,39,131,292,41.78
11,1,Indre Sorokaite,ITA,169,49,188,406,41.63
12,11,Louisa Lippmann,GER,193,65,209,467,41.33
13,3,Britt Herbots,BEL,205,58,241,504,40.67
14,11,Margarita Kurilo,RUS,109,55,104,268,40.67
15,5,Ana Paula Borgo Bedani Guedes,BRA,161,61,194,416,38.70
16,18,Kseniia Parubets,RUS,115,64,121,300,38.33
17,16,Ai Kurogo,JPN,116,37,151,304,38.16
18,12,Hanna Orthmann,GER,108,52,126,286,37.76
19,18,Bethania De La Cruz De Peña,DOM,185,54,252,491,37.68
20,16,Natalia Medrzyk,POL,128,44,169,341,37.54
21,9,Magdalena Stysiak,POL,146,87,163,396,36.87
22,2,Katarina Lazovic,SRB,124,61,154,339,36.58
23,22,Tatiana Ezhak,RUS,135,62,174,371,36.39
24,2,Seungju Pyo,KOR,100,54,122,276,36.23
25,8,Kaja Grobelna,BEL,166,69,225,460,36.09
26,7,Yuki Ishii,JPN,177,74,269,520,34.04
27,18,Ajcharaporn Kongyot,THA,122,60,180,362,33.70
28,6,Onuma Sittirak,THA,103,40,164,307,33.55
29,6,Miroslava Paskova,BUL,154,70,243,467,32.98
30,1,Gergana Dimitrova,BUL,175,86,272,533,32.83
31,7,Celine Van Gestel,BEL,113,27,205,345,32.75
32,15,Sohwi Kang,KOR,110,61,169,340,32.35
33,4,Heejin Kim,KOR,169,80,278,527,32.07
34,15,Malika Kanthong,THA,82,50,124,256,32.03
35,2,Elise Van Sas,BEL,2,1,0,3,
36,4,Nathalie Lemmens,BEL,7,1,12,20,
37,10,Dominika Sobolska,BEL,41,13,64,118,
38,12,Dominika Strumilo,BEL,11,7,20,38,
39,13,Marlies Janssens,BEL,77,20,75,172,
40,15,Jutta Van De Vyver,BEL,0,0,1,1,
41,16,Karolina Goliat,BEL,16,8,38,62,
42,17,Ilka Van De Vyver,BEL,10,2,26,38,
43,19,Silke Van Avermaet,BEL,17,2,21,40,
44,20,Jodie Guilliams,BEL,11,4,20,35,
45,21,Manon Stragier,BEL,1,1,1,3,
46,1,Mara Ferreira Leao,BRA,103,8,82,193,
47,3,Macris Fernanda Silva Carneiro,BRA,16,8,16,40,
48,4,Lara Nobre Cardoso G Filomeno,BRA,4,1,4,9,
49,6,Julia Isabelle Bergmann,BRA,2,4,7,13,
50,9,Roberta Silva Ratzke,BRA,5,0,4,9,
51,11,Tainara Lemes Santos,BRA,38,16,47,101,
52,12,Natalia Pereira,BRA,82,28,60,170,
53,13,Amanda Francisco,BRA,69,30,88,187,
54,15,Ana Carolina Da Silva,BRA,3,1,9,13,
55,20,Ana Beatriz Correa,BRA,110,16,86,212,
56,24,Lorenne Geraldo Teixeira,BRA,74,27,91,192,
57,25,Milka Marcília Medeiros Silva,BRA,2,1,1,4,
58,28,Mayany Cristina Araujo De Souza,BRA,16,3,21,40,
59,2,Nasya Dimitrova,BUL,92,35,95,222,
60,4,Maria Dancheva,BUL,16,12,42,70,
61,5,Simona Dimitrova,BUL,45,17,68,130,
62,7,Lora Kitipova,BUL,10,0,18,28,
63,8,Petya Barakova,BUL,7,2,20,29,
64,10,Mira Todorova,BUL,69,25,76,170,
65,12,Mariya Karakasheva,BUL,8,3,13,24,
66,17,Elena Becheva,BUL,3,0,2,5,
67,18,Silvana Chausheva,BUL,86,47,133,266,
68,20,Mariya Krivoshiyska,BUL,0,1,4,5,
69,1,Xinyue Yuan,CHN,79,4,41,124,
70,2,Ting Zhu,CHN,106,16,86,208,
71,3,Linyu Diao,CHN,4,0,5,9,
72,4,Hanyu Yang,CHN,34,11,30,75,
73,5,Mingyuan Hu,CHN,42,6,30,78,
74,7,Yuanyuan Wang,CHN,15,7,32,54,
75,8,Chunlei Zeng,CHN,30,12,55,97,
76,9,Changning Zhang,CHN,76,23,82,181,
77,10,Xiaotong Liu,CHN,57,35,73,165,
78,11,Di Yao,CHN,3,0,11,14,
79,12,Yingying Li,CHN,62,17,67,146,
80,14,Yixin Zheng,CHN,25,5,19,49,
81,16,Xia Ding,CHN,4,0,5,9,
82,17,Ni Yan,CHN,29,3,24,56,
83,19,Yanhan Liu,CHN,115,26,138,279,
84,20,Fang Duan,CHN,31,21,32,84,
85,23,Qingqing Du,CHN,11,9,18,38,
86,26,Ye Jin,CHN,0,1,0,1,
87,3,Lisvel Elisa Eve Mejia,DOM,52,24,44,120,
88,7,Niverka Dharlenis Marte Frica,DOM,18,6,31,55,
89,8,Candida Estefany Arias Perez,DOM,25,11,33,69,
90,11,Marifranchi Rodriguez,DOM,2,1,3,6,
91,12,Yokaty Perez Flores,DOM,0,0,1,1,
92,14,Prisilla Rivera Brens,DOM,74,29,109,212,
93,16,Yonkaira Paola Peña Isabel,DOM,59,33,74,166,
94,21,Jineiry Martinez,DOM,89,21,67,177,
95,22,Erasma Moreno Martinez,DOM,5,1,3,9,
96,23,Gaila Ceneida Gonzalez Lopez,DOM,88,43,99,230,
97,2,Pia Kästner,GER,14,1,11,26,
98,3,Denise Hanke,GER,23,5,23,51,
99,4,Selma Hetmann,GER,1,1,7,9,
100,5,Jana Franziska Poll,GER,25,12,35,72,
101,6,Jennifer Janiska,GER,48,31,80,159,
102,7,Nele Barber,GER,50,21,57,128,
103,8,Kimberly Drewniok,GER,34,26,31,91,
104,10,Lena Stigrot,GER,67,30,74,171,
105,13,Denise Imoudu,GER,2,0,3,5,
106,14,Marie Schölzel,GER,68,13,50,131,
107,16,Linda Bock,GER,9,0,5,14,
108,18,Leonie Schwertmann,GER,11,5,10,26,
109,22,Lisa Gründing,GER,44,11,56,111,
110,2,Sara Alberti,ITA,33,6,32,71,
111,5,Ofelia Malinov,ITA,30,4,18,52,
112,8,Alessia Orro,ITA,7,2,7,16,
113,9,Caterina Chiara Bosetti,ITA,18,17,21,56,
114,10,Cristina Chirichella,ITA,42,21,42,105,
115,11,Anna Danesi,ITA,38,17,43,98,
116,13,Sarah Luisa Fahr,ITA,55,14,40,109,
117,16,Lucia Bosetti,ITA,80,35,118,233,
118,17,Miryam Fatime Sylla,ITA,73,27,58,158,
119,18,Paola Ogechi Egonu,ITA,143,62,85,290,
120,22,Anna Nicoletti,ITA,21,12,22,55,
121,23,Francesca Villani,ITA,10,2,17,29,
122,2,Sarina Koga,JPN,59,22,93,174,
123,3,Nana Iwasaka,JPN,32,8,23,63,
124,4,Risa Shinnabe,JPN,75,23,76,174,
125,6,Haruka Miyashita,JPN,1,0,3,4,
126,11,Yurie Nabeya,JPN,79,22,141,242,
127,12,Miya Sato,JPN,1,3,16,20,
128,13,Mai Okumura,JPN,41,11,39,91,
129,20,Aya Watanabe,JPN,25,6,29,60,
130,21,Miwako Osanai,JPN,38,26,44,108,
131,24,Aika Akutagawa,JPN,40,8,38,86,
132,25,Nanami Seki,JPN,4,2,5,11,
133,27,Miyu Nakagawa,JPN,17,11,38,66,
134,9,Juah Lee,KOR,51,13,58,122,
135,11,Su Ji Kim,KOR,12,1,12,25,
136,12,Dae Young Jung,KOR,18,5,8,31,
137,14,Eunjin Park,KOR,27,6,34,67,
138,19,Dayeong Lee,KOR,7,1,14,22,
139,22,Jiyun Jeong,KOR,31,20,58,109,
140,26,Sooji Han,KOR,2,1,1,4,
141,30,Eunji Choi,KOR,3,4,8,15,
142,3,Yvon Belien,NED,7,1,9,17,
143,4,Celeste Plak,NED,55,21,41,117,
144,6,Maret Grothues,NED,45,12,38,95,
145,7,Juliet Lohuis,NED,71,24,79,174,
146,8,Demi Korevaar,NED,3,0,6,9,
147,10,Lonneke Slöetjes,NED,62,23,87,172,
148,11,Anne Buijs,NED,47,14,76,137,
149,12,Britt Bongaerts,NED,1,0,8,9,
150,13,Hester Jasper,NED,11,6,16,33,
151,14,Laura Dijkema,NED,8,3,15,26,
152,16,Indy Baijens,NED,27,25,43,95,
153,17,Nicole Oude Luttikhuis,NED,64,36,99,199,
154,18,Marrit Jasper,NED,78,33,116,227,
155,19,Nika Daalderop,NED,56,15,49,120,
156,20,Tessa Polder,NED,7,4,17,28,
157,21,Annick Meijers,NED,56,30,77,163,
158,22,Nicole Koolhaas,NED,30,3,22,55,
159,26,Sarah Van Aalen,NED,0,1,2,3,
160,30,Anniek Siebring,NED,0,0,2,2,
161,31,Eline Timmerman,NED,34,14,50,98,
162,1,Julia Nowicka,POL,10,2,11,23,
163,3,Klaudia Alagierska,POL,25,13,25,63,
164,4,Kamila Witkowska,POL,38,11,22,71,
165,5,Agnieszka Kakolewska,POL,85,26,73,184,
166,10,Zuzanna Efimienko-Mlotkowska,POL,29,8,19,56,
167,11,Monika Galkowska,POL,3,3,1,7,
168,14,Joanna Wolosz,POL,7,1,7,15,
169,15,Martyna Grajber,POL,55,24,111,190,
170,19,Olivia Rozanski,POL,4,2,10,16,
171,20,Marlena Kowalewska,POL,4,0,11,15,
172,23,Zuzanna Gorecka,POL,1,1,6,8,
173,1,Angelina Lazarenko,RUS,65,18,58,141,
174,3,Ekaterina Efimova,RUS,49,15,51,115,
175,5,Ekaterina Orlova,RUS,15,4,20,39,
176,7,Tatiana Romanova,RUS,3,3,12,18,
177,12,Daria Ryseva,RUS,0,1,3,4,
178,13,Evgeniya Startseva,RUS,2,0,0,2,
179,16,Irina Voronkova,RUS,60,27,54,141,
180,17,Valeriya Zaytseva,RUS,6,2,10,18,
181,19,Mariia Khaletskaia,RUS,77,36,83,196,
182,20,Maria Vorobyeva,RUS,0,5,3,8,
183,21,Anna Kotikova,RUS,18,9,22,49,
184,23,Olga Zubareva,RUS,2,3,6,11,
185,25,Sofya Kuznetsova,RUS,11,10,9,30,
186,27,Polina Matveeva,RUS,5,1,3,9,
187,29,Victoriia Russu,RUS,2,4,6,12,
188,1,Bianka Busa,SRB,33,23,37,93,
189,4,Emilija Zakic,SRB,1,0,1,2,
190,5,Mina Popovic,SRB,45,5,30,80,
191,6,Maja Savic,SRB,31,12,29,72,
192,7,Katarina Jovic,SRB,1,3,10,14,
193,8,Sladjana Mirkovic,SRB,6,2,16,24,
194,9,Brankica Mihajlovic,SRB,18,11,27,56,
195,11,Stefana Veljkovic,SRB,4,0,1,5,
196,13,Ana Bjelica,SRB,103,38,118,259,
197,14,Maja Aleksic,SRB,50,20,60,130,
198,18,Tijana Boškovic,SRB,35,10,28,73,
199,20,Jelena Blagojevic,SRB,39,11,60,110,
200,21,Jovana Kocic,SRB,2,1,12,15,
201,22,Sara Lozo,SRB,79,39,112,230,
202,23,Mila Djordjevic,SRB,6,0,8,14,
203,24,Aleksandra Cirovic,SRB,1,0,0,1,
204,28,Ana Pejicic,SRB,1,2,2,5,
205,29,Milica Kubura,SRB,65,36,108,209,
206,1,Wipawee Srithong,THA,3,1,2,6,
207,5,Pleumjit Thinkaow,THA,99,14,86,199,
208,8,Watchareeya Nuanjam,THA,12,5,19,36,
209,9,Wanitchaya Luangtonglang,THA,8,3,4,15,
210,10,Wilavan Apinyapong,THA,24,9,34,67,
211,11,Amporn Hyapha,THA,27,6,33,66,
212,13,Nootsara Tomkom,THA,13,0,20,33,
213,21,Gullapa Piampongsan,THA,1,1,1,3,
214,23,Jutarat Montripila,THA,4,3,6,13,
215,24,Tichakorn Boonlert,THA,16,7,17,40,
216,3,Cansu Özbay,TUR,14,3,23,40,
217,5,Seyma Ercan,TUR,43,19,65,127,
218,6,Kubra Caliskan,TUR,78,21,61,160,
219,7,Hande Baladin,TUR,79,30,86,195,
220,8,Buse Unal,TUR,0,0,1,1,
221,11,Ezgi Dilik,TUR,1,1,9,11,
222,12,Gözde Yilmaz,TUR,85,35,98,218,
223,13,Meryem Boz,TUR,63,21,81,165,
224,16,Yasemin Guveli,TUR,5,4,11,20,
225,18,Zehra Gunes,TUR,98,31,64,193,
226,19,Asli Kalac,TUR,14,6,17,37,
227,21,Fatma Yildirim,TUR,33,24,65,122,
228,1,Micha Hancock,USA,5,0,11,16,
229,2,Jordyn Poulter,USA,4,4,7,15,
230,3,Carli Lloyd,USA,1,1,6,8,
231,6,Tetori Dixon,USA,30,4,35,69,
232,7,Lauren Carlini,USA,10,1,12,23,
233,8,Lauren Gibbemeyer,USA,13,4,8,25,
234,9,Madison Kingdon Rishel,USA,54,17,75,146,
235,10,Jordan Larson,USA,58,19,79,156,
236,12,Jordan Thompson,USA,102,32,107,241,
237,13,Sarah Wilhite,USA,29,7,50,86,
238,14,Michelle Bartsch-Hackley,USA,76,27,81,184,
239,18,Mikaela Foecke,USA,75,14,93,182,
240,19,Hannah Tapp,USA,9,1,3,13,
241,20,Dana Rettke,USA,56,8,37,101,
242,21,Simone Lee,USA,16,6,16,38,
243,22,Haleigh Washington,USA,54,9,42,105,
244,23,Kelsey Robinson,USA,110,42,101,253,
245,24,Chiaka Ogbogu,USA,100,17,53,170,
246,25,Karsta Lowe,USA,19,3,28,50,
